#{"t_start": 1765594231.536499, "env_id": "None"}
r,l,t
-64.20033,1000,581.969614
427.59366,1000,581.969619
408.79453,1000,581.969624
-70.80025,1000,581.969629
156.2009,1000,581.969635
273.19095,1000,581.969639
-158.19882,1000,581.969645
-56.9996,1000,581.96965
41.20199,1000,591.705468
820.5947,1000,591.705533
261.79242,1000,591.705542
799.5911,1000,591.705548
-70.5999,1000,591.705553
130.00085,1000,591.705559
674.59717,1000,591.705564
669.19183,1000,591.70557
-166.59857,1000,591.705576
20.600994,1000,591.705587
114.40195,1000,591.705595
45.400723,1000,591.7056
662.799,1000,591.705606
-39.80036,1000,591.705611
520.1906,1000,591.705617
412.59375,1000,591.705622
-67.400345,1000,591.705627
797.39124,1000,591.705632
168.40207,1000,591.705637
655.99634,1000,591.705643
669.5934,1000,591.705648
118.60176,1000,591.705654
120.2021,1000,591.705659
74.80194,1000,591.705664
-71.40028,1000,591.70567
-39.3995,1000,591.705675
437.59088,1000,591.70568
671.995,1000,591.705686
674.1947,1000,618.047083
393.9929,1000,618.047141
-93.19987,1000,618.047149
86.002045,1000,618.047155
795.793,1000,618.047161
797.19214,1000,618.047166
105.60182,1000,618.047172
264.79373,1000,618.047177
672.79205,1000,618.047183
-51.000397,1000,618.047188
57.601654,1000,618.047194
795.59,1000,618.047199
0.6011704,1000,618.047204
-8.799238,1000,618.04721
282.4015,1000,618.047215
23.401066,1000,618.047221
-163.79866,1000,618.047227
-20.799921,1000,618.047232
-161.5987,1000,618.047237
-4.399425,1000,618.047243
121.20209,1000,618.047248
72.60133,1000,618.047253
-78.400116,1000,618.047259
671.79095,1000,618.047264
-112.79954,1000,618.047269
-54.000256,1000,618.047275
338.79428,1000,618.047281
3.8004997,1000,618.047286
670.593,1000,638.024385
-4.599753,1000,638.024437
671.3925,1000,638.024447
796.79486,1000,638.024454
215.79724,1000,638.02446
675.39325,1000,638.024466
3.2009878,1000,638.024472
5.4007425,1000,638.024477
-95.3998,1000,638.024483
-57.200127,1000,638.024488
88.60199,1000,638.024493
-134.39912,1000,638.024499
668.192,1000,638.024504
-102.9997,1000,638.02451
673.3951,1000,638.024515
833.99347,1000,638.02452
797.3901,1000,638.024526
296.9953,1000,638.024531
-157.99876,1000,638.024536
31.400745,1000,638.024542
795.1898,1000,638.024547
676.39514,1000,638.024552
113.40234,1000,638.024558
673.39136,1000,638.024563
668.391,1000,638.024568
104.20198,1000,638.024573
-163.1987,1000,638.024579
17.401302,1000,638.024584
-133.79916,1000,657.10375
672.7921,1000,657.1038
44.80182,1000,657.103809
-146.79898,1000,657.103815
146.80164,1000,657.103823
-94.79994,1000,657.103831
793.79156,1000,657.103837
245.99605,1000,657.103843
92.80139,1000,657.103849
-16.799547,1000,657.103854
135.60179,1000,657.10386
681.7959,1000,657.103865
496.1942,1000,657.103873
-1.5993179,1000,657.103878
673.7925,1000,657.103887
804.1911,1000,657.103892
302.1942,1000,657.103897
795.7907,1000,657.103902
