#{"t_start": 1765582597.4202473, "env_id": "None"}
r,l,t
176.2,1000,1354.278992
90.0,1000,1356.285057
159.2,1000,1358.296609
-87.0,1000,1360.259068
682.8,1000,1362.314377
679.2,1000,1364.419606
-105.2,1000,1366.52554
116.2,1000,1368.723149
-144.6,1000,1373.121488
183.0,1000,1375.275126
681.0,1000,1377.489072
474.8,1000,1379.786021
163.0,1000,1381.934034
681.6,1000,1384.048398
-82.6,1000,1385.978997
149.4,1000,1387.938022
537.4,1000,1391.877113
-6.8,1000,1393.632865
138.2,1000,1395.602959
681.0,1000,1397.574786
22.8,1000,1399.472981
-8.0,1000,1401.39255
350.4,1000,1403.38828
199.4,1000,1405.329013
-110.0,1000,1409.482629
797.2,1000,1411.465732
480.4,1000,1413.532853
3.6,1000,1415.501483
807.8,1000,1417.565162
683.4,1000,1419.550701
310.2,1000,1421.646234
559.0,1000,1423.704504
-91.6,1000,1427.963704
797.0,1000,1429.964298
127.0,1000,1431.873706
144.2,1000,1433.929319
679.8,1000,1435.956506
-107.2,1000,1437.948257
197.8,1000,1439.882783
155.8,1000,1441.928247
75.6,1000,1446.354753
412.8,1000,1448.350026
-90.6,1000,1450.391244
797.0,1000,1452.546556
90.8,1000,1454.70939
310.4,1000,1456.88527
-43.4,1000,1458.919022
678.2,1000,1461.01413
689.4,1000,1465.059743
50.6,1000,1467.121696
819.0,1000,1469.286179
687.2,1000,1471.654392
60.8,1000,1473.856513
799.2,1000,1475.979249
680.8,1000,1478.095259
572.4,1000,1480.185559
682.6,1000,1484.274022
796.6,1000,1486.56871
191.6,1000,1488.767524
539.6,1000,1491.053213
682.0,1000,1493.234886
580.6,1000,1495.367989
183.8,1000,1497.277311
179.0,1000,1499.275123
-159.6,1000,1503.755697
20.0,1000,1505.878754
150.6,1000,1507.89871
149.0,1000,1509.919716
48.4,1000,1511.887913
147.2,1000,1513.930329
58.0,1000,1516.233301
680.0,1000,1518.350688
795.8,1000,1522.818082
-135.0,1000,1524.915693
55.6,1000,1527.074022
677.2,1000,1529.26563
-77.4,1000,1531.354029
827.6,1000,1533.395228
794.6,1000,1535.515914
406.4,1000,1537.588676
55.0,1000,1541.77241
-33.4,1000,1543.912753
412.2,1000,1546.029264
209.6,1000,1548.02852
131.0,1000,1549.958677
207.2,1000,1552.046536
104.4,1000,1553.991551
223.8,1000,1555.954842
-27.8,1000,1560.329746
109.2,1000,1562.281057
-102.8,1000,1564.332407
-48.2,1000,1566.14518
246.4,1000,1568.382779
72.2,1000,1570.399539
231.2,1000,1572.520753
-50.2,1000,1574.715487
796.0,1000,1579.185102
668.4,1000,1581.32085
-67.6,1000,1583.399687
308.8,1000,1585.42268
-116.2,1000,1587.556357
206.0,1000,1589.372524
681.2,1000,1591.545546
-2.8,1000,1593.628283
284.4,1000,1597.618738
-14.4,1000,1599.716236
22.6,1000,1601.742461
138.2,1000,1603.701632
-127.8,1000,1605.703693
413.0,1000,1607.796653
555.4,1000,1609.911169
799.8,1000,1611.943105
-18.6,1000,1616.038073
485.4,1000,1617.936791
426.4,1000,1619.932951
